settlement_id,transaction_id,bank_name,account_last4,routing_number,swift_code,amount,currency,status,failure_reason,batch_id,settled_at,utr_number,reference_id,metadata
STL_2,TXN_1012,Axis Bank,4827,RTG123456,SWIFT123,15000,INR,settled,,BATCH_20260901,2026-09-02 13:04:00,UTR73760480,REF_2,{}
STL_3,TXN_5001,HDFC Bank,6442,RTG123456,SWIFT123,5000,INR,pending,,BATCH_20260901,,,REF_3,{}
STL_4,TXN_10004,ICICI Bank,3427,RTG123456,SWIFT123,19199.08,INR,settled,,BATCH_20260901,2026-09-02 13:08:00,UTR86072760,REF_4,{}
STL_5,TXN_10005,Axis Bank,4836,RTG123456,SWIFT123,17298.85,INR,pending,,BATCH_20260901,,,REF_5,{}
STL_6,TXN_10006,ICICI Bank,3595,RTG123456,SWIFT123,8245.84,INR,settled,,BATCH_20260901,2026-09-02 10:12:00,UTR12926571,REF_6,{}
STL_7,TXN_10007,ICICI Bank,9697,RTG123456,SWIFT123,742.74,INR,settled,,BATCH_20260901,2026-09-02 13:14:00,UTR52989191,REF_7,{}
STL_8,TXN_10008,ICICI Bank,3186,RTG123456,SWIFT123,4640.77,INR,settled,,BATCH_20260901,2026-09-02 13:16:00,UTR90777841,REF_8,{}
STL_9,TXN_10009,ICICI Bank,2738,RTG123456,SWIFT123,14054.09,INR,settled,,BATCH_20260901,2026-09-02 10:18:00,UTR75572813,REF_9,{}
STL_11,TXN_10011,ICICI Bank,5871,RTG123456,SWIFT123,14568.1,INR,settled,,BATCH_20260901,2026-09-02 13:22:00,UTR72793632,REF_11,{}
STL_12,TXN_10012,ICICI Bank,2003,RTG123456,SWIFT123,6230.97,INR,settled,,BATCH_20260901,2026-09-02 09:24:00,UTR95535549,REF_12,{}
STL_13,TXN_10013,ICICI Bank,4205,RTG123456,SWIFT123,1489.26,INR,settled,,BATCH_20260901,2026-09-02 13:26:00,UTR69293088,REF_13,{}
STL_15,TXN_10015,Axis Bank,5240,RTG123456,SWIFT123,16801.59,INR,settled,,BATCH_20260901,2026-09-02 10:30:00,UTR98816162,REF_15,{}
STL_16,TXN_10016,HDFC Bank,8703,RTG123456,SWIFT123,10852.04,INR,settled,,BATCH_20260901,2026-09-02 12:32:00,UTR65371312,REF_16,{}
STL_17,TXN_10017,Axis Bank,9666,RTG123456,SWIFT123,22341.96,INR,pending,,BATCH_20260901,,,REF_17,{}
STL_18,TXN_10018,SBI,8819,RTG123456,SWIFT123,13720.17,INR,settled,,BATCH_20260901,2026-09-02 11:36:00,UTR23552856,REF_18,{}
STL_19,TXN_10019,ICICI Bank,2107,RTG123456,SWIFT123,10209.24,INR,settled,,BATCH_20260901,2026-09-02 10:38:00,UTR84087996,REF_19,{}
STL_20,TXN_10020,SBI,7372,RTG123456,SWIFT123,7385.44,INR,settled,,BATCH_20260901,2026-09-02 13:40:00,UTR23208129,REF_20,{}
STL_21,TXN_10021,SBI,3360,RTG123456,SWIFT123,8952.68,INR,settled,,BATCH_20260901,2026-09-02 09:42:00,UTR43376309,REF_21,{}
STL_22,TXN_10022,Axis Bank,7680,RTG123456,SWIFT123,464.14,INR,settled,,BATCH_20260901,2026-09-02 12:44:00,UTR49574625,REF_22,{}
STL_23,TXN_10023,ICICI Bank,6158,RTG123456,SWIFT123,7690.99,INR,settled,,BATCH_20260901,2026-09-02 10:46:00,UTR15072347,REF_23,{}
STL_25,TXN_10025,ICICI Bank,5441,RTG123456,SWIFT123,9453.15,INR,settled,,BATCH_20260901,2026-09-02 09:50:00,UTR95400440,REF_25,{}
STL_26,TXN_10026,Axis Bank,1746,RTG123456,SWIFT123,16240.39,INR,settled,,BATCH_20260901,2026-09-02 11:52:00,UTR60020525,REF_26,{}
STL_27,TXN_10027,ICICI Bank,8102,RTG123456,SWIFT123,13729.06,INR,settled,,BATCH_20260901,2026-09-02 10:54:00,UTR28945464,REF_27,{}
STL_28,TXN_10028,Axis Bank,6657,RTG123456,SWIFT123,24093.8,INR,settled,,BATCH_20260901,2026-09-02 13:56:00,UTR76350629,REF_28,{}
STL_29,TXN_10029,HDFC Bank,6550,RTG123456,SWIFT123,7693.99,INR,settled,,BATCH_20260901,2026-09-02 13:58:00,UTR71797445,REF_29,{}
STL_30,TXN_10030,Axis Bank,9002,RTG123456,SWIFT123,20325.15,INR,settled,,BATCH_20260901,2026-09-02 14:00:00,UTR18628359,REF_30,{}
STL_31,TXN_10031,ICICI Bank,7443,RTG123456,SWIFT123,24635.71,INR,settled,,BATCH_20260901,2026-09-02 13:02:00,UTR85888480,REF_31,{}
STL_32,TXN_10032,Axis Bank,1406,RTG123456,SWIFT123,23263.16,INR,settled,,BATCH_20260901,2026-09-02 14:04:00,UTR10786577,REF_32,{}
STL_33,TXN_10033,ICICI Bank,7038,RTG123456,SWIFT123,3164.55,INR,settled,,BATCH_20260901,2026-09-02 11:06:00,UTR85017819,REF_33,{}
