entry_id,transaction_id,account_id,type,amount,currency,platform_fee,tax,net_amount,status,reconciliation_id,notes,recorded_at,updated_at,operator_id
LED_2,TXN_1012,ACC_MER_002,credit,15000,INR,300.0,45.0,14655.0,reconciled,REC_2,Auto-reconciled,2026-09-02 14:04:00,,SYS
LED_3,TXN_5001,ACC_MER_003,credit,5000,INR,100.0,15.0,4885.0,pending,,Awaiting bank settlement,2026-09-01 08:06:00,,SYS
LED_4,TXN_10004,ACC_MER_001,credit,19199.08,INR,383.98,57.6,18757.5,reconciled,REC_4,Auto-reconciled,2026-09-02 14:08:00,,SYS
LED_5,TXN_10005,ACC_MER_004,credit,17298.85,INR,345.98,51.9,16900.98,pending,,Awaiting bank settlement,2026-09-01 08:10:00,,SYS
LED_6,TXN_10006,ACC_MER_002,credit,8245.84,INR,164.92,24.74,8056.19,reconciled,REC_6,Auto-reconciled,2026-09-02 11:12:00,,SYS
LED_7,TXN_10007,ACC_MER_002,credit,742.74,INR,14.85,2.23,725.66,reconciled,REC_7,Auto-reconciled,2026-09-02 14:14:00,,SYS
LED_8,TXN_10008,ACC_MER_003,credit,4640.77,INR,92.82,13.92,4534.03,reconciled,REC_8,Auto-reconciled,2026-09-02 14:16:00,,SYS
LED_9,TXN_10009,ACC_MER_004,credit,14054.09,INR,281.08,42.16,13730.85,reconciled,REC_9,Auto-reconciled,2026-09-02 11:18:00,,SYS
LED_11,TXN_10011,ACC_MER_001,credit,14568.1,INR,291.36,43.7,14233.03,reconciled,REC_11,Auto-reconciled,2026-09-02 14:22:00,,SYS
LED_12,TXN_10012,ACC_MER_004,credit,6230.97,INR,124.62,18.69,6087.66,reconciled,REC_12,Auto-reconciled,2026-09-02 10:24:00,,SYS
LED_13,TXN_10013,ACC_MER_005,credit,1489.26,INR,29.79,4.47,1455.01,reconciled,REC_13,Auto-reconciled,2026-09-02 14:26:00,,SYS
LED_15,TXN_10015,ACC_MER_002,credit,16801.59,INR,336.03,50.4,16415.15,reconciled,REC_15,Auto-reconciled,2026-09-02 11:30:00,,SYS
LED_16,TXN_10016,ACC_MER_004,credit,10852.04,INR,217.04,32.56,10602.44,reconciled,REC_16,Auto-reconciled,2026-09-02 13:32:00,,SYS
LED_17,TXN_10017,ACC_MER_004,credit,22341.96,INR,446.84,67.03,21828.09,pending,,Awaiting bank settlement,2026-09-01 08:34:00,,SYS
LED_18,TXN_10018,ACC_MER_003,credit,13720.17,INR,274.4,41.16,13404.61,reconciled,REC_18,Auto-reconciled,2026-09-02 12:36:00,,SYS
LED_19,TXN_10019,ACC_MER_002,credit,10209.24,INR,204.18,30.63,9974.43,reconciled,REC_19,Auto-reconciled,2026-09-02 11:38:00,,SYS
LED_20,TXN_10020,ACC_MER_001,credit,7385.44,INR,147.71,22.16,7215.57,reconciled,REC_20,Auto-reconciled,2026-09-02 14:40:00,,SYS
LED_21,TXN_10021,ACC_MER_002,credit,8952.68,INR,179.05,26.86,8746.77,reconciled,REC_21,Auto-reconciled,2026-09-02 10:42:00,,SYS
LED_22,TXN_10022,ACC_MER_001,credit,464.14,INR,9.28,1.39,453.46,reconciled,REC_22,Auto-reconciled,2026-09-02 13:44:00,,SYS
LED_23,TXN_10023,ACC_MER_003,credit,7690.99,INR,153.82,23.07,7514.1,reconciled,REC_23,Auto-reconciled,2026-09-02 11:46:00,,SYS
LED_25,TXN_10025,ACC_MER_001,credit,9453.15,INR,189.06,28.36,9235.73,reconciled,REC_25,Auto-reconciled,2026-09-02 10:50:00,,SYS
LED_26,TXN_10026,ACC_MER_003,credit,16240.39,INR,324.81,48.72,15866.86,reconciled,REC_26,Auto-reconciled,2026-09-02 12:52:00,,SYS
LED_27,TXN_10027,ACC_MER_001,credit,13729.06,INR,274.58,41.19,13413.29,reconciled,REC_27,Auto-reconciled,2026-09-02 11:54:00,,SYS
LED_28,TXN_10028,ACC_MER_003,credit,24093.8,INR,481.88,72.28,23539.64,reconciled,REC_28,Auto-reconciled,2026-09-02 14:56:00,,SYS
LED_29,TXN_10029,ACC_MER_004,credit,7693.99,INR,153.88,23.08,7517.03,reconciled,REC_29,Auto-reconciled,2026-09-02 14:58:00,,SYS
LED_30,TXN_10030,ACC_MER_004,credit,20325.15,INR,406.5,60.98,19857.67,reconciled,REC_30,Auto-reconciled,2026-09-02 15:00:00,,SYS
LED_31,TXN_10031,ACC_MER_003,credit,24635.71,INR,492.71,73.91,24069.09,reconciled,REC_31,Auto-reconciled,2026-09-02 14:02:00,,SYS
LED_32,TXN_10032,ACC_MER_003,credit,23263.16,INR,465.26,69.79,22728.11,reconciled,REC_32,Auto-reconciled,2026-09-02 15:04:00,,SYS
LED_33,TXN_10033,ACC_MER_005,credit,3164.55,INR,63.29,9.49,3091.77,reconciled,REC_33,Auto-reconciled,2026-09-02 12:06:00,,SYS
LED_34,TXN_10034,ACC_MER_004,credit,9358.54,INR,187.17,28.08,9143.29,reconciled,REC_34,Auto-reconciled,2026-09-02 15:08:00,,SYS
LED_35,TXN_10035,ACC_MER_001,credit,2558.1,INR,51.16,7.67,2499.26,reconciled,REC_35,Auto-reconciled,2026-09-02 12:10:00,,SYS
LED_36,TXN_10036,ACC_MER_005,credit,2004.73,INR,40.09,6.01,1958.62,reconciled,REC_36,Auto-reconciled,2026-09-02 15:12:00,,SYS
LED_37,TXN_10037,ACC_MER_001,credit,21669.19,INR,433.38,65.01,21170.8,reconciled,REC_37,Auto-reconciled,2026-09-02 15:14:00,,SYS
LED_38,TXN_10038,ACC_MER_003,credit,20366.65,INR,407.33,61.1,19898.22,reconciled,REC_38,Auto-reconciled,2026-09-02 12:16:00,,SYS
LED_39,TXN_10039,ACC_MER_005,credit,4794.74,INR,95.89,14.38,4684.46,reconciled,REC_39,Auto-reconciled,2026-09-02 13:18:00,,SYS
LED_40,TXN_10040,ACC_MER_004,credit,5755.57,INR,115.11,17.27,5623.19,reconciled,REC_40,Auto-reconciled,2026-09-02 15:20:00,,SYS
LED_41,TXN_10041,ACC_MER_002,credit,1224.74,INR,24.49,3.67,1196.57,reconciled,REC_41,Auto-reconciled,2026-09-02 12:22:00,,SYS
LED_42,TXN_10042,ACC_MER_001,credit,10792.2,INR,215.84,32.38,10543.98,reconciled,REC_42,Auto-reconciled,2026-09-02 14:24:00,,SYS
LED_43,TXN_10043,ACC_MER_005,credit,21036.47,INR,420.73,63.11,20552.63,reconciled,REC_43,Auto-reconciled,2026-09-02 14:26:00,,SYS
LED_44,TXN_10044,ACC_MER_005,credit,10678.94,INR,213.58,32.04,10433.32,reconciled,REC_44,Auto-reconciled,2026-09-02 13:28:00,,SYS
LED_45,TXN_10045,ACC_MER_002,credit,2081.59,INR,41.63,6.24,2033.71,reconciled,REC_45,Auto-reconciled,2026-09-02 11:30:00,,SYS
LED_46,TXN_10046,ACC_MER_002,credit,12496.37,INR,249.93,37.49,12208.95,reconciled,REC_46,Auto-reconciled,2026-09-02 15:32:00,,SYS
LED_47,TXN_10047,ACC_MER_003,credit,6372.04,INR,127.44,19.12,6225.48,reconciled,REC_47,Auto-reconciled,2026-09-02 13:34:00,,SYS
LED_48,TXN_10048,ACC_MER_005,credit,16996.5,INR,339.93,50.99,16605.58,reconciled,REC_48,Auto-reconciled,2026-09-02 13:36:00,,SYS
LED_49,TXN_10049,ACC_MER_005,credit,7890.55,INR,157.81,23.67,7709.07,reconciled,REC_49,Auto-reconciled,2026-09-02 15:38:00,,SYS
LED_50,TXN_10050,ACC_MER_004,credit,3383.93,INR,67.68,10.15,3306.1,reconciled,REC_50,Auto-reconciled,2026-09-02 13:40:00,,SYS
LED_51,TXN_10051,ACC_MER_005,credit,8309.29,INR,166.19,24.93,8118.18,reconciled,REC_51,Auto-reconciled,2026-09-02 13:42:00,,SYS
LED_52,TXN_10052,ACC_MER_001,credit,12008.93,INR,240.18,36.03,11732.72,reconciled,REC_52,Auto-reconciled,2026-09-02 11:44:00,,SYS
LED_53,TXN_10053,ACC_MER_004,credit,7220.91,INR,144.42,21.66,7054.83,reconciled,REC_53,Auto-reconciled,2026-09-02 12:46:00,,SYS
LED_54,TXN_10054,ACC_MER_004,credit,22770.11,INR,455.4,68.31,22246.4,reconciled,REC_54,Auto-reconciled,2026-09-02 14:48:00,,SYS
LED_55,TXN_10055,ACC_MER_002,credit,19811.94,INR,396.24,59.44,19356.27,reconciled,REC_55,Auto-reconciled,2026-09-02 13:50:00,,SYS
LED_56,TXN_10056,ACC_MER_004,credit,3253.24,INR,65.06,9.76,3178.42,reconciled,REC_56,Auto-reconciled,2026-09-02 13:52:00,,SYS
LED_57,TXN_10057,ACC_MER_002,credit,1455.08,INR,29.1,4.37,1421.61,reconciled,REC_57,Auto-reconciled,2026-09-02 13:54:00,,SYS
LED_58,TXN_10058,ACC_MER_004,credit,15793.18,INR,315.86,47.38,15429.94,reconciled,REC_58,Auto-reconciled,2026-09-02 12:56:00,,SYS
LED_59,TXN_10059,ACC_MER_001,credit,5312.19,INR,106.24,15.94,5190.01,reconciled,REC_59,Auto-reconciled,2026-09-02 15:58:00,,SYS
LED_60,TXN_10060,ACC_MER_002,credit,12360.49,INR,247.21,37.08,12076.2,reconciled,REC_60,Auto-reconciled,2026-09-02 16:00:00,,SYS
LED_61,TXN_10061,ACC_MER_002,credit,17695.09,INR,353.9,53.09,17288.1,reconciled,REC_61,Auto-reconciled,2026-09-02 15:02:00,,SYS
LED_62,TXN_10062,ACC_MER_002,credit,5145.54,INR,102.91,15.44,5027.19,reconciled,REC_62,Auto-reconciled,2026-09-02 15:04:00,,SYS
LED_63,TXN_10063,ACC_MER_003,credit,5229.57,INR,104.59,15.69,5109.29,reconciled,REC_63,Auto-reconciled,2026-09-02 12:06:00,,SYS
LED_64,TXN_10064,ACC_MER_004,credit,24712.59,INR,494.25,74.14,24144.2,reconciled,REC_64,Auto-reconciled,2026-09-02 12:08:00,,SYS
LED_65,TXN_10065,ACC_MER_004,credit,2535.75,INR,50.72,7.61,2477.43,reconciled,REC_65,Auto-reconciled,2026-09-02 15:10:00,,SYS
LED_67,TXN_10067,ACC_MER_003,credit,10081.13,INR,201.62,30.24,9849.26,reconciled,REC_67,Auto-reconciled,2026-09-02 13:14:00,,SYS
LED_68,TXN_10068,ACC_MER_004,credit,24249.19,INR,484.98,72.75,23691.46,reconciled,REC_68,Auto-reconciled,2026-09-02 14:16:00,,SYS
LED_69,TXN_10069,ACC_MER_004,credit,17697.7,INR,353.95,53.09,17290.65,reconciled,REC_69,Auto-reconciled,2026-09-02 14:18:00,,SYS
LED_70,TXN_10070,ACC_MER_004,credit,19353.57,INR,387.07,58.06,18908.44,reconciled,REC_70,Auto-reconciled,2026-09-02 12:20:00,,SYS
